adcode,business,city,cityCode,city_level,corn_str,country,country_code,country_code_iso,country_code_iso2,direction,distance,district,formatted_address,lat,location,lon,poiRegions,pois,province,roads,sematic_description,street,street_number,town
110101,"东四,朝阳门,灯市口",北京市,131,2,"116.43,39.93",中国,0,CHN,CN,附近,31,东城区,北京市东城区朝阳门内大街216-4号院,39.93,"{'lng': 116.42999999999995, 'lat': 39.93000007583822}",116.43,"[{'direction_desc': '内', 'uid': 'c4e17dfbe0f7cdbd2a02e106', 'name': '网信办第二办公区', 'tag': '教育培训;其他', 'distance': '0'}]",[],北京市,[],"网信办第二办公区内,国家互联网舆情中心东南58米",朝阳门内大街,216-4号院,
110114,兴寿,北京市,131,2,"116.43,40.23",中国,0,CHN,CN,,,昌平区,北京市昌平区S307(怀昌路),40.23,"{'lng': 116.42999999999995, 'lat': 40.230000047915986}",116.43,"[{'direction_desc': '内', 'uid': '08957cb18b0480fab14c493e', 'name': '汇航桃园', 'tag': '房地产;住宅区', 'distance': '0'}]",[],北京市,[],汇航桃园内,S307(怀昌路),,
110109,永定,北京市,131,2,"116.14,39.91",中国,0,CHN,CN,,,门头沟区,北京市门头沟区泰安路,39.91,"{'lng': 116.13999999999993, 'lat': 39.91000007743232}",116.14,[],[],北京市,[],翡翠长安西195米,泰安路,,
110105,,北京市,131,2,"116.49,40.04",中国,0,CHN,CN,,,朝阳区,北京市朝阳区,40.04,"{'lng': 116.48999999999992, 'lat': 40.04000006643732}",116.49,[],[],北京市,[],香江北岸西406米,,,
110114,,北京市,131,2,"116.49,40.11",中国,0,CHN,CN,,,昌平区,北京市昌平区S11(泗上桥),40.11,"{'lng': 116.48999999999992, 'lat': 40.11000005992883}",116.49,[],[],北京市,[],中海油能源研究院东南884米,S11(泗上桥),,
110108,"四季青,世纪城,紫竹桥",北京市,131,2,"116.28,39.95",中国,0,CHN,CN,,,海淀区,北京市海淀区西四环北路辅路,39.95,"{'lng': 116.27999999999993, 'lat': 39.95000007420785}",116.28,[],[],北京市,[],北京市公安局海淀分局四季青派出所巡逻警务站东北104米,西四环北路辅路,,
110119,,北京市,131,2,"115.93,40.41",中国,0,CHN,CN,,,延庆区,北京市延庆区S220(延康路),40.41,"{'lng': 115.92999999999995, 'lat': 40.410000028193906}",115.93,[],[],北京市,[],蒋家堡南777米,S220(延康路),,
110113,,北京市,131,2,"116.69,40.23",中国,0,CHN,CN,,,顺义区,北京市顺义区,40.23,"{'lng': 116.68999999999993, 'lat': 40.230000047915986}",116.69,[],[],北京市,[],顺鑫山语溪东北936米,,,
110111,韩村河,北京市,131,2,"115.96,39.61",中国,0,CHN,CN,附近,17,房山区,北京市房山区岳李路43号,39.61,"{'lng': 115.95999999999992, 'lat': 39.61000009666106}",115.96,[],[],北京市,[],合力达彩钢板厂东北51米,岳李路,43号,
110108,"马连洼,颐和园",北京市,131,2,"116.29,40.03",中国,0,CHN,CN,南,86,海淀区,北京市海淀区圆明园西路2号院,40.03,"{'lng': 116.28999999999994, 'lat': 40.03000006733478}",116.29,[],[],北京市,[],国家玉米改良中心-东南门东106米,圆明园西路,2号院,
110113,,北京市,131,2,"116.88,40.15",中国,0,CHN,CN,,,顺义区,北京市顺义区,40.15,"{'lng': 116.87999999999992, 'lat': 40.15000005603932}",116.88,[],[],北京市,[],西庞里西北429米,,,
110113,,北京市,131,2,"116.83,40.21",中国,0,CHN,CN,,,顺义区,北京市顺义区,40.21,"{'lng': 116.82999999999993, 'lat': 40.210000049987954}",116.83,[],[],北京市,[],顺义区李各庄中学东576米,,,
110118,密云城区,北京市,131,2,"116.88,40.38",中国,0,CHN,CN,,,密云区,北京市密云区檀营街,40.38,"{'lng': 116.87999999999992, 'lat': 40.38000003160146}",116.88,[],[],北京市,[],密云第七小学(建设中)西南184米,檀营街,,
110118,,北京市,131,2,"116.97,40.40",中国,0,CHN,CN,,,密云区,北京市密云区辛安庄立交桥,40.40,"{'lng': 116.96999999999993, 'lat': 40.400000029334485}",116.97,[],[],北京市,[],羊山村东南920米,辛安庄立交桥,,
110118,,北京市,131,2,"117.20,40.65",中国,0,CHN,CN,,,密云区,北京市密云区G101(京密路),40.65,"{'lng': 117.19999999999993, 'lat': 40.64999999973319}",117.20,[],[],北京市,[],,G101(京密路),,
110109,,北京市,131,2,"115.91,39.95",中国,0,CHN,CN,,,门头沟区,北京市门头沟区,39.95,"{'lng': 115.90999999999993, 'lat': 39.95000007420785}",115.91,[],[],北京市,[],,,,
110114,马池口,北京市,131,2,"116.23,40.17",中国,0,CHN,CN,,,昌平区,北京市昌平区楼百路,40.17,"{'lng': 116.22999999999993, 'lat': 40.17000005405039}",116.23,[],[],北京市,[],娄自庄村医务室东465米,楼百路,,
110116,桥梓,北京市,131,2,"116.58,40.31",中国,0,CHN,CN,,,怀柔区,北京市怀柔区,40.31,"{'lng': 116.57999999999993, 'lat': 40.310000039375204}",116.58,[],[],北京市,[],北京市怀柔区桥梓水泥制品厂西494米,,,
110115,"南苑,东高地",北京市,131,2,"116.43,39.83",中国,0,CHN,CN,,,大兴区,北京市大兴区德贤路辅路,39.83,"{'lng': 116.42999999999995, 'lat': 39.830000083435124}",116.43,[],[],北京市,[],北京北内柴油机有限责任公司西南242米,德贤路辅路,,
110116,,北京市,131,2,"116.55,40.38",中国,0,CHN,CN,,,怀柔区,北京市怀柔区,40.38,"{'lng': 116.54999999999993, 'lat': 40.38000003160146}",116.55,[],[],北京市,[],东四渡河村南940米,,,
110118,,北京市,131,2,"117.02,40.47",中国,0,CHN,CN,,,密云区,北京市密云区碱万路,40.47,"{'lng': 117.01999999999992, 'lat': 40.47000002125881}",117.02,[],[],北京市,[],万岭西北723米,碱万路,,
110113,,北京市,131,2,"116.51,40.23",中国,0,CHN,CN,,,顺义区,北京市顺义区,40.23,"{'lng': 116.50999999999993, 'lat': 40.230000047915986}",116.51,[],[],北京市,[],,,,
110111,长阳,北京市,131,2,"116.21,39.79",中国,0,CHN,CN,,,房山区,北京市房山区,39.79,"{'lng': 116.20999999999992, 'lat': 39.79000008620548}",116.21,[],[],北京市,[],北京莱恩堡国际酒庄西976米,,,
110117,,北京市,131,2,"117.05,40.17",中国,0,CHN,CN,,,平谷区,北京市平谷区西良路,40.17,"{'lng': 117.04999999999994, 'lat': 40.17000005405039}",117.05,[],[],北京市,[],大兴庄乡西柏店村养殖小区示范西142米,西良路,,
110115,,北京市,131,2,"116.29,39.64",中国,0,CHN,CN,,,大兴区,北京市大兴区,39.64,"{'lng': 116.28999999999994, 'lat': 39.640000095153454}",116.29,[],[],北京市,[],东高各庄村东北782米,,,
110117,,北京市,131,2,"117.17,40.18",中国,0,CHN,CN,,,平谷区,北京市平谷区,40.18,"{'lng': 117.16999999999994, 'lat': 40.180000053045205}",117.17,[],[],北京市,[],北京市平谷区绿都林科技示范园南474米,,,
110111,,北京市,131,2,"115.92,39.73",中国,0,CHN,CN,,,房山区,北京市房山区,39.73,"{'lng': 115.91999999999993, 'lat': 39.730000090062056}",115.92,[],[],北京市,[],,,,
110113,,北京市,131,2,"116.73,40.08",中国,0,CHN,CN,,,顺义区,北京市顺义区X203(右堤路),40.08,"{'lng': 116.72999999999993, 'lat': 40.08000006276586}",116.73,[],[],北京市,[],新城滨河森林公园趣味运动园北450米,X203(右堤路),,
110108,,北京市,131,2,"116.21,40.10",中国,0,CHN,CN,,,海淀区,北京市海淀区东马坊中路,40.10,"{'lng': 116.20999999999992, 'lat': 40.100000060882294}",116.21,[],[],北京市,[],七色光双语幼儿园东南129米,东马坊中路,,
110115,,北京市,131,2,"116.37,39.53",中国,0,CHN,CN,,,大兴区,北京市大兴区,39.53,"{'lng': 116.36999999999995, 'lat': 39.53000010020767}",116.37,[],[],北京市,[],东梁各庄村西南758米,,,
110114,兴寿,北京市,131,2,"116.44,40.22",中国,0,CHN,CN,,,昌平区,北京市昌平区桃西路,40.22,"{'lng': 116.43999999999994, 'lat': 40.220000048955285}",116.44,[],[],北京市,[],京郊兴寿草莓基地北919米,桃西路,,
110107,西山,北京市,131,2,"116.19,39.97",中国,0,CHN,CN,,,石景山区,北京市石景山区,39.97,"{'lng': 116.18999999999994, 'lat': 39.97000007254172}",116.19,"[{'direction_desc': '内', 'uid': '4edf9fbf7699998dcc06a44d', 'name': '八大处公园', 'tag': '旅游景点;风景区', 'distance': '0'}]",[],北京市,[],"八大处公园内,西山名胜记东257米",,,
110105,"四惠,百子湾,八里庄",北京市,131,2,"116.50,39.91",中国,0,CHN,CN,,,朝阳区,北京市朝阳区惠河南街,39.91,"{'lng': 116.49999999999994, 'lat': 39.91000007743232}",116.50,[],[],北京市,[],尚8设计家广告园-A2栋东217米,惠河南街,,
110112,,北京市,131,2,"116.68,40.01",中国,0,CHN,CN,,,通州区,北京市通州区窑管路,40.01,"{'lng': 116.67999999999994, 'lat': 40.01000006910458}",116.68,[],[],北京市,[],融创千章墅东南352米,窑管路,,
110112,马驹桥,北京市,131,2,"116.56,39.76",中国,0,CHN,CN,,,通州区,北京市通州区兴华北街,39.76,"{'lng': 116.55999999999995, 'lat': 39.76000008817916}",116.56,"[{'direction_desc': '内', 'uid': 'f9fd60622b05cd620f0e6be7', 'name': '兴华嘉园-西区', 'tag': '房地产;住宅区', 'distance': '0'}]",[],北京市,[],"兴华嘉园-西区内,兴华嘉园附近40米",兴华北街,,
110102,"什刹海,后海,德胜门",北京市,131,2,"116.39,39.95",中国,0,CHN,CN,西南,98,西城区,北京市西城区后海北沿甲44号,39.95,"{'lng': 116.38999999999993, 'lat': 39.95000007420785}",116.39,"[{'direction_desc': '内', 'uid': 'c21db9e5111538fe00ff2d32', 'name': '什刹海公园', 'tag': '旅游景点;风景区', 'distance': '0'}]",[],北京市,[],"什刹海公园内,洛阳牡丹南156米",后海北沿,甲44号,
110114,南邵,北京市,131,2,"116.32,40.21",中国,0,CHN,CN,,,昌平区,北京市昌平区S307(怀昌路),40.21,"{'lng': 116.31999999999994, 'lat': 40.210000049987954}",116.32,[],[],北京市,[],宜山居-西南1门东南314米,S307(怀昌路),,
110116,"庙城,怀柔城区",北京市,131,2,"116.67,40.30",中国,0,CHN,CN,,,怀柔区,北京市怀柔区怀耿路辅路,40.30,"{'lng': 116.66999999999993, 'lat': 40.30000004046384}",116.67,[],[],北京市,[],快乐宝贝幼儿园东北452米,怀耿路辅路,,
110114,,北京市,131,2,"116.19,40.34",中国,0,CHN,CN,,,昌平区,北京市昌平区,40.34,"{'lng': 116.18999999999994, 'lat': 40.340000036075566}",116.19,[],[],北京市,[],,,,
110112,,北京市,131,2,"116.56,39.81",中国,0,CHN,CN,,,通州区,北京市通州区经海五路,39.81,"{'lng': 116.55999999999995, 'lat': 39.810000084839956}",116.56,[],[],北京市,[],马庄北180米,经海五路,,
110108,四季青,北京市,131,2,"116.27,39.96",中国,0,CHN,CN,,,海淀区,北京市海淀区燕桥金路,39.96,"{'lng': 116.26999999999992, 'lat': 39.960000073379206}",116.27,[],[],北京市,[],常青公司西257米,燕桥金路,,
110112,,北京市,131,2,"116.65,40.02",中国,0,CHN,CN,,,通州区,北京市通州区葛渠路,40.02,"{'lng': 116.64999999999993, 'lat': 40.020000068223894}",116.65,[],[],北京市,[],小神童双语幼儿园(葛堤路)西南216米,葛渠路,,
110118,,北京市,131,2,"116.91,40.52",中国,0,CHN,CN,,,密云区,北京市密云区,40.52,"{'lng': 116.90999999999993, 'lat': 40.52000001537281}",116.91,[],[],北京市,[],,,,
110118,,北京市,131,2,"116.80,40.31",中国,0,CHN,CN,,,密云区,北京市密云区,40.31,"{'lng': 116.79999999999994, 'lat': 40.310000039375204}",116.80,[],[],北京市,[],,,,
110114,"城北,昌平县城,城南",北京市,131,2,"116.27,40.23",中国,0,CHN,CN,,,昌平区,北京市昌平区S214(水库路),40.23,"{'lng': 116.26999999999992, 'lat': 40.230000047915986}",116.27,[],[],北京市,[],菓岭假日广场西北269米,S214(水库路),,
110112,"东关,武夷花园,中仓",北京市,131,2,"116.69,39.92",中国,0,CHN,CN,,,通州区,北京市通州区芙蓉西路,39.92,"{'lng': 116.68999999999993, 'lat': 39.92000007663986}",116.69,[],[],北京市,[],河畔丽景西192米,芙蓉西路,,
110112,,北京市,131,2,"116.77,39.75",中国,0,CHN,CN,,,通州区,北京市通州区草北路,39.75,"{'lng': 116.76999999999992, 'lat': 39.75000008881694}",116.77,[],[],北京市,[],泽明印刷有限公司西南254米,草北路,,
110115,,北京市,131,2,"116.29,39.68",中国,0,CHN,CN,,,大兴区,北京市大兴区景弘大街,39.68,"{'lng': 116.28999999999994, 'lat': 39.68000009299498}",116.29,[],[],北京市,[],华润生命科学产业园东北430米,景弘大街,,
110111,,北京市,131,2,"116.22,39.80",中国,0,CHN,CN,,,房山区,北京市房山区独义三路,39.80,"{'lng': 116.21999999999993, 'lat': 39.800000085527664}",116.22,[],[],北京市,[],稻田村西368米,独义三路,,
110115,,北京市,131,2,"116.37,39.55",中国,0,CHN,CN,,,大兴区,北京市大兴区四昕路,39.55,"{'lng': 116.36999999999995, 'lat': 39.55000009938617}",116.37,[],[],北京市,[],,四昕路,,
110113,后沙峪,北京市,131,2,"116.55,40.13",中国,0,CHN,CN,,,顺义区,北京市顺义区S28(机场北线高速),40.13,"{'lng': 116.54999999999993, 'lat': 40.13000005799904}",116.55,[],[],北京市,[],后沙峪南桥东北271米,S28(机场北线高速),,
110116,,北京市,131,2,"116.45,40.45",中国,0,CHN,CN,,,怀柔区,北京市怀柔区,40.45,"{'lng': 116.44999999999993, 'lat': 40.45000002358719}",116.45,[],[],北京市,[],茵家南96米,,,
110117,马昌营,北京市,131,2,"117.01,40.14",中国,0,CHN,CN,,,平谷区,北京市平谷区云打路,40.14,"{'lng': 117.00999999999993, 'lat': 40.14000005702287}",117.01,[],[],北京市,[],昌兴工业开发区西北641米,云打路,,
110112,"乔庄,武夷花园,潞城",北京市,131,2,"116.70,39.91",中国,0,CHN,CN,,,通州区,北京市通州区玉带河大街,39.91,"{'lng': 116.69999999999993, 'lat': 39.91000007743232}",116.70,[],[],北京市,[],运河奥体公园-东门西南170米,玉带河大街,,
110116,,北京市,131,2,"116.56,40.34",中国,0,CHN,CN,,,怀柔区,北京市怀柔区,40.34,"{'lng': 116.55999999999995, 'lat': 40.340000036075566}",116.56,[],[],北京市,[],小矮人风情园东南318米,,,
110113,,北京市,131,2,"116.87,40.10",中国,0,CHN,CN,,,顺义区,北京市顺义区,40.10,"{'lng': 116.86999999999993, 'lat': 40.100000060882294}",116.87,[],[],北京市,[],侉子营村东北923米,,,
110107,"八宝山,老山,鲁谷",北京市,131,2,"116.24,39.92",中国,0,CHN,CN,附近,22,石景山区,北京市石景山区上庄东路6号,39.92,"{'lng': 116.23999999999992, 'lat': 39.92000007663986}",116.24,[],[],北京市,[],老山城市休闲公园-东南门东北288米,上庄东路,6号,
110108,,北京市,131,2,"116.21,40.07",中国,0,CHN,CN,,,海淀区,北京市海淀区,40.07,"{'lng': 116.20999999999992, 'lat': 40.070000063695836}",116.21,[],[],北京市,[],雨佳双语幼儿园西524米,,,
110113,,北京市,131,2,"116.52,40.24",中国,0,CHN,CN,,,顺义区,北京市顺义区北高路,40.24,"{'lng': 116.51999999999992, 'lat': 40.24000004687015}",116.52,[],[],北京市,[],,北高路,,
110113,,北京市,131,2,"116.95,40.15",中国,0,CHN,CN,,,顺义区,北京市顺义区张良路,40.15,"{'lng': 116.94999999999993, 'lat': 40.15000005603932}",116.95,"[{'direction_desc': '内', 'uid': '4614692c358f3a383ce23153', 'name': '张镇莲花苑', 'tag': '房地产;住宅区', 'distance': '0'}]",[],北京市,[],张镇莲花苑内,张良路,,
110117,东高村,北京市,131,2,"117.12,40.11",中国,0,CHN,CN,西北,77,平谷区,北京市平谷区兴业路55号,40.11,"{'lng': 117.11999999999993, 'lat': 40.11000005992883}",117.12,[],[],北京市,[],东高村镇人民政府北66米,兴业路,55号,
110113,"后沙峪,新国展",北京市,131,2,"116.53,40.10",中国,0,CHN,CN,,,顺义区,北京市顺义区X303(天北路),40.10,"{'lng': 116.52999999999993, 'lat': 40.100000060882294}",116.53,[],[],北京市,[],欧洲时尚东北544米,X303(天北路),,
110105,"来广营,北苑",北京市,131,2,"116.45,40.04",中国,0,CHN,CN,,,朝阳区,北京市朝阳区北苑东路辅路,40.04,"{'lng': 116.44999999999993, 'lat': 40.04000006643732}",116.45,"[{'direction_desc': '内', 'uid': 'bc01c59ce6b469a9233bf2a0', 'name': '勇士营郊野公园', 'tag': '旅游景点;公园', 'distance': '0'}]",[],北京市,[],"勇士营郊野公园内,金宝国际幼儿园(勇士营校)东北88米",北苑东路辅路,,
110111,,北京市,131,2,"115.82,39.81",中国,0,CHN,CN,,,房山区,北京市房山区,39.81,"{'lng': 115.81999999999994, 'lat': 39.810000084839956}",115.82,[],[],北京市,[],,,,
110115,,北京市,131,2,"116.47,39.61",中国,0,CHN,CN,,,大兴区,北京市大兴区后西路,39.61,"{'lng': 116.46999999999993, 'lat': 39.61000009666106}",116.47,[],[],北京市,[],后辛房村东南216米,后西路,,
110115,,北京市,131,2,"116.55,39.71",中国,0,CHN,CN,,,大兴区,北京市大兴区,39.71,"{'lng': 116.54999999999993, 'lat': 39.71000009126624}",116.55,[],[],北京市,[],,,,
110111,,北京市,131,2,"115.87,39.68",中国,0,CHN,CN,,,房山区,北京市房山区,39.68,"{'lng': 115.86999999999995, 'lat': 39.68000009299498}",115.87,[],[],北京市,[],,,,
110102,"展览路,百万庄,阜成门",北京市,131,2,"116.35,39.93",中国,0,CHN,CN,西南,57,西城区,北京市西城区展览馆路37号,39.93,"{'lng': 116.34999999999992, 'lat': 39.93000007583822}",116.35,"[{'direction_desc': '内', 'uid': '141f2a5842ec668238e4a650', 'name': '百万庄', 'tag': '房地产;住宅区', 'distance': '0'}]",[],北京市,[],"百万庄内,国开证券总部北73米",展览馆路,37号,
110118,,北京市,131,2,"117.01,40.36",中国,0,CHN,CN,,,密云区,北京市密云区S311(密兴路),40.36,"{'lng': 117.00999999999993, 'lat': 40.3600000338488}",117.01,[],[],北京市,[],,S311(密兴路),,
110115,,北京市,131,2,"116.42,39.71",中国,0,CHN,CN,,,大兴区,北京市大兴区,39.71,"{'lng': 116.41999999999993, 'lat': 39.71000009126624}",116.42,[],[],北京市,[],侯村东南346米,,,
110113,,北京市,131,2,"116.48,40.10",中国,0,CHN,CN,,,顺义区,北京市顺义区,40.10,"{'lng': 116.47999999999993, 'lat': 40.100000060882294}",116.48,[],[],北京市,[],京顺车辆管理所-机动车查验西569米,,,
110115,,北京市,131,2,"116.56,39.66",中国,0,CHN,CN,,,大兴区,北京市大兴区,39.66,"{'lng': 116.55999999999995, 'lat': 39.66000009409527}",116.56,[],[],北京市,[],,,,
110111,,北京市,131,2,"116.05,39.59",中国,0,CHN,CN,,,房山区,北京市房山区G4(京港澳高速),39.59,"{'lng': 116.04999999999993, 'lat': 39.59000009761263}",116.05,[],[],北京市,[],北洛中学南614米,G4(京港澳高速),,
110115,,北京市,131,2,"116.60,39.67",中国,0,CHN,CN,,,大兴区,北京市大兴区南车路,39.67,"{'lng': 116.59999999999992, 'lat': 39.67000009355039}",116.60,[],[],北京市,[],北蒲洲桥南460米,南车路,,
110105,"高碑店,十里堡,姚家园",北京市,131,2,"116.54,39.93",中国,0,CHN,CN,,,朝阳区,北京市朝阳区朝阳北路辅路,39.93,"{'lng': 116.53999999999994, 'lat': 39.93000007583822}",116.54,[],[],北京市,[],上汽大通南204米,朝阳北路辅路,,
110116,,北京市,131,2,"116.61,40.34",中国,0,CHN,CN,,,怀柔区,北京市怀柔区,40.34,"{'lng': 116.60999999999993, 'lat': 40.340000036075566}",116.61,[],[],北京市,[],,,,
110106,,北京市,131,2,"116.12,39.84",中国,0,CHN,CN,,,丰台区,北京市丰台区灵湖路,39.84,"{'lng': 116.11999999999995, 'lat': 39.840000082718134}",116.12,[],[],北京市,[],千灵山桥西南681米,灵湖路,,
110114,,北京市,131,2,"116.31,40.13",中国,0,CHN,CN,,,昌平区,北京市昌平区,40.13,"{'lng': 116.30999999999995, 'lat': 40.13000005799904}",116.31,"[{'direction_desc': '内', 'uid': 'd305db1fbe63693d932ca32b', 'name': '碧水庄园', 'tag': '房地产;住宅区', 'distance': '0'}]",[],北京市,[],碧水庄园内,,,
110111,良乡,北京市,131,2,"116.13,39.73",中国,0,CHN,CN,西北,85,房山区,北京市房山区长虹西路26号,39.73,"{'lng': 116.12999999999994, 'lat': 39.730000090062056}",116.13,"[{'direction_desc': '内', 'uid': '479b6f17d43057d252e5c52e', 'name': '共创大厦', 'tag': '房地产;写字楼', 'distance': '0'}]",[],北京市,[],"共创大厦内,西潞街道楼宇招商基地东北92米",长虹西路,26号,
110119,,北京市,131,2,"116.12,40.62",中国,0,CHN,CN,,,延庆区,北京市延庆区,40.62,"{'lng': 116.11999999999995, 'lat': 40.620000003375615}",116.12,[],[],北京市,[],,,,
110113,,北京市,131,2,"116.63,40.16",中国,0,CHN,CN,,,顺义区,北京市顺义区,40.16,"{'lng': 116.62999999999992, 'lat': 40.16000005504844}",116.63,[],[],北京市,[],南卷东北667米,,,
110108,,北京市,131,2,"116.39,40.04",中国,0,CHN,CN,,,海淀区,北京市海淀区清河路,40.04,"{'lng': 116.38999999999993, 'lat': 40.04000006643732}",116.39,[],[],北京市,[],大树园北547米,清河路,,
110111,,北京市,131,2,"115.96,39.58",中国,0,CHN,CN,,,房山区,北京市房山区X042,39.58,"{'lng': 115.95999999999992, 'lat': 39.58000009807226}",115.96,[],[],北京市,[],郑家庄西北433米,X042,,
130681,,保定市,307,2,"115.96,39.57",中国,0,CHN,CN,,,涿州市,河北省保定市涿州市,39.57,"{'lng': 115.95999999999992, 'lat': 39.570000098521064}",115.96,[],[],河北省,[],百荣集团百荣现代农业产业园北847米,,,
